size,growthRate,InitialSize,breaks,time,diff,stdGR
10.702,4.292,6.41,0,T6,T3 to T6,0.669578783151326
19.796,7.763,12.033,0,T6,T3 to T6,0.6451425247236766
30.277,11.722000000000001,18.555,0,T6,T3 to T6,0.6317434653732148
18.336,7.953406999999999,10.382593,0,T6,T3 to T6,0.766032820510252
21.262,6.04433,15.21767,0,T6,T3 to T6,0.39719155429182
40.145,19.845000000000002,20.3,0,T6,T3 to T6,0.9775862068965518
3.247,1.1469999999999998,2.1,0,T6,T3 to T6,0.5461904761904761
15.373,2.2729999999999997,13.1,0,T6,T3 to T6,0.17351145038167937
55.821,27.720999999999997,28.1,0,T6,T3 to T6,0.9865124555160141
10.284,1.3840000000000003,8.9,0,T6,T3 to T6,0.15550561797752813
40.079,15.479,24.6,0,T6,T3 to T6,0.6292276422764227
17.567,-5.533000000000001,23.1,0,T6,T3 to T6,-0.23952380952380956
12.474,4.674,7.8,0,T6,T3 to T6,0.5992307692307693
12.313,6.413,5.9,0,T6,T3 to T6,1.086949152542373
44.729,25.445,19.284,0,T6,T3 to T6,1.319487658162207
37.773,14.345000000000002,23.428,0,T6,T3 to T6,0.6123015195492574
51.138,13.936999999999998,37.201,0,T6,T3 to T6,0.37464046665412215
21.275,8.705199999999998,12.5698,0,T6,T3 to T6,0.6925488074591479
34.895,12.995000000000005,21.9,0,T6,T3 to T6,0.5933789954337902
21.097,4.235000000000003,16.862,0,T6,T3 to T6,0.2511564464476339
1.562,0.139,1.423,0,T6,T3 to T6,0.09768095572733662
11.304,-8.520280999999999,19.824281,0,T6,T3 to T6,-0.42979016489929694
21.559,-0.43359599999999787,21.992596,0,T6,T3 to T6,-0.019715544267716184
19.484,6.294000000000002,13.19,0,T6,T3 to T6,0.47717968157695245
11.418,3.9289999999999994,7.489,0,T6,T3 to T6,0.5246361329950594
9.038,3.723,5.315,0,T6,T3 to T6,0.7004703668861711
42.731,20.54364,22.18736,0,T6,T3 to T6,0.9259163776131996
31.492,10.729322,20.762678,0,T6,T3 to T6,0.516760024886963
1.199,0.17000000000000015,1.029,0,T6,T3 to T6,0.16520894071914496
16.797,4.017000000000001,12.78,0,T6,T3 to T6,0.3143192488262912
10.596,6.252669,4.343331,0,T6,T3 to T6,1.4396022315591421
20.236,10.606810000000001,9.62919,0,T6,T3 to T6,1.1015267120079677
0.495,-0.05257999999999996,0.54758,0,T6,T3 to T6,-0.09602249899558049
19.397,10.248,9.149,0,T6,T3 to T6,1.120122417750574
34.227,18.751084,15.475916,0,T6,T3 to T6,1.211629993339328
20.768,9.394,11.374,0,T6,T3 to T6,0.8259187620889749
16.2287,-11.555177,27.783877,0,T6,T3 to T6,-0.4158950530914026
21.56,14.161999999999999,7.398,0,T6,T3 to T6,1.9143011624763449
15.758,9.097,6.661,0,T6,T3 to T6,1.3657108542260923
17.436,10.152999999999999,7.283,0,T6,T3 to T6,1.394068378415488
8.503,4.362,4.141,0,T6,T3 to T6,1.0533687515092973
35.8,16.468563999999997,19.331436,0,T6,T3 to T6,0.8519058801425821
14.069,7.613,6.456,0,T6,T3 to T6,1.1792131350681536
0.57,0.5199999999999999,0.05,0,T6,T3 to T6,10.399999999999997
10.114,1.5780000000000012,8.536,0,T6,T3 to T6,0.1848641049671979
10.742,4.356000000000001,6.386,0,T6,T3 to T6,0.6821171312245539
27.837,3.914231000000001,23.922769,0,T6,T3 to T6,0.16361947899927476
24.014,7.876071,16.137929,0,T6,T3 to T6,0.48804719614270203
